text,label
Saya sangat senang,positif
Hari ini buruk,negatif
Cinta banget sama kamu,positif
Sangat kecewa dengan hasilnya,negatif
Semangat terus!,positif
Tidak puas dengan layanan,negatif
Pekerjaan saya luar biasa,positif
Malam yang sangat buruk,negatif
Saya merasa hebat,positif
Produk ini luar biasa,positif
Sangat kecewa dengan pelayanan,negatif
Senang bisa belajar hal baru,positif
Tidak ada yang lebih buruk dari ini,negatif
Buat saya ini sangat menyenangkan,positif
Tidak bagus sama sekali,negatif
Ini benar-benar menyenangkan,positif
Saya sangat suka!,positif
Hari yang buruk,negatif
Puas dengan hasilnya,positif
Semua hal baik,positif
Terima kasih untuk dukungannya,positif
Tidak menyukai hal ini,positif
Sangat bahagia,negatif
Menyenangkan sekali!,positif
Pekerjaan ini sangat buruk,negatif
Cinta banget sama hasilnya,positif
Hari yang menyenankan,negatif
Kecewa dengan kualitas,negatif
Sangat puas,positif
Ini adalah hari yang bagus,positif
Saya merasa kecewa,negatif
Menyenankan banget,positif
Hasilnya memuaskan,positif
Saya tidak akan kembali lagi,negatif
Saya tidak menyukai pengalaman ini,positif
Hari yang cerah,negatif
Sangat suka dengan produknya,positif
Luar biasa!,positif
Tidak tertarik sama sekali,negatif
Bagus banget,positif
Kurang memuaskan,negatif
Saya benar-benar tidak suka,negatif
Hasilnya bagus,positif
Menangis karena kecewa,negatif
Jauh lebih baik,positif
Lebih buruk dari yang saya bayangkan,positif
Suka banget,negatif
Hasilnya luar biasa,positif
Sangat puas,negatif
Tidak ada yang lebih baik dari ini,positif
Sangat tidak puas,positif
